TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
ANALYTICS,CALENDAR_DIM,DATE_DAY,DATE,YES
ANALYTICS,CALENDAR_DIM,DATE_KEY,NUMBER,YES
ANALYTICS,DROP_BURY_BY_DAY_V,ACTIVITY_DATE,DATE,YES
ANALYTICS,DROP_BURY_BY_DAY_V,Bury Approved,DATE,YES
ANALYTICS,DROP_BURY_BY_DAY_V,Bury Completed,DATE,YES
ANALYTICS,DROP_BURY_BY_DAY_V,Bury Created,DATE,YES
ANALYTICS,DROP_BURY_BY_DAY_V,Bury Released,DATE,YES
ANALYTICS,DROP_BURY_BY_DAY_V,DATE_DAY,DATE,YES
ANALYTICS,DROP_BURY_BY_DAY_V,DATE_KEY,NUMBER,YES
ANALYTICS,DROP_BURY_BY_DAY_V,Drop Approved,DATE,YES
ANALYTICS,DROP_BURY_BY_DAY_V,Drop Completed,DATE,YES
ANALYTICS,DROP_BURY_BY_DAY_V,Drop Created,DATE,YES
ANALYTICS,DROP_BURY_BY_DAY_V,Drop Released,DATE,YES
ANALYTICS,DROP_BURY_DT,ACTIVITY_DATE,DATE,YES
ANALYTICS,DROP_BURY_DT,Bury Approved,DATE,YES
ANALYTICS,DROP_BURY_DT,Bury Completed,DATE,YES
ANALYTICS,DROP_BURY_DT,Bury Created,DATE,YES
ANALYTICS,DROP_BURY_DT,Bury Released,DATE,YES
ANALYTICS,DROP_BURY_DT,DATE_KEY,NUMBER,YES
ANALYTICS,DROP_BURY_DT,Drop Approved,DATE,YES
ANALYTICS,DROP_BURY_DT,Drop Completed,DATE,YES
ANALYTICS,DROP_BURY_DT,Drop Created,DATE,YES
ANALYTICS,DROP_BURY_DT,Drop Released,DATE,YES
ANALYTICS,LABOR_CODES,MODIFIED,TIMESTAMP_NTZ,YES
ANALYTICS,RENDER_TICKETS,BLUEPRINTED_DATE,DATE,YES
ANALYTICS,RENDER_TICKETS,DATE_APPROVED,DATE,YES
ANALYTICS,RENDER_TICKETS,DATE_COMPLETED,DATE,YES
ANALYTICS,RENDER_TICKETS,DATE_RELEASED,DATE,YES
ANALYTICS,RENDER_TICKETS,TARGET_DATE,DATE,YES
ANALYTICS,RENDER_UNITS,APPROVED_DATE,DATE,YES
ANALYTICS,RENDER_UNITS,COMPLETED_DATE,DATE,YES
ANALYTICS,RENDER_UNITS,ORIGINAL_COMPLETED_DATE,DATE,YES
ANALYTICS,SCHEMA_SNAPSHOTS,SNAPSHOT_DATE,TIMESTAMP_NTZ,YES
ANALYTICS,VW_LABOR_CODES,MODIFIED,TIMESTAMP_NTZ,YES
ANALYTICS,VW_RENDER_TICKETS,BLUEPRINTED_DATE,DATE,YES
ANALYTICS,VW_RENDER_TICKETS,DATE_APPROVED,DATE,YES
ANALYTICS,VW_RENDER_TICKETS,DATE_COMPLETED,DATE,YES
ANALYTICS,VW_RENDER_TICKETS,DATE_RELEASED,DATE,YES
ANALYTICS,VW_RENDER_TICKETS,TARGET_DATE,DATE,YES
ANALYTICS,VW_RENDER_UNITS,APPROVED_DATE,DATE,YES
ANALYTICS,VW_RENDER_UNITS,COMPLETED_DATE,DATE,YES
ANALYTICS,VW_RENDER_UNITS,ORIGINAL_COMPLETED_DATE,DATE,YES
S3_STAGES,DL_RENDER_TICKETS,BLUEPRINTED_DATE,DATE,YES
S3_STAGES,DL_RENDER_TICKETS,DATE_APPROVED,DATE,YES
S3_STAGES,DL_RENDER_TICKETS,DATE_COMPLETED,DATE,YES
S3_STAGES,DL_RENDER_TICKETS,DATE_RELEASED,DATE,YES
S3_STAGES,DL_RENDER_TICKETS,TARGET_DATE,DATE,YES
S3_STAGES,DL_RENDER_UNITS,APPROVED_DATE,DATE,YES
S3_STAGES,DL_RENDER_UNITS,COMPLETED_DATE,DATE,YES
S3_STAGES,DL_RENDER_UNITS,ORIGINAL_COMPLETED_DATE,DATE,YES
S3_STAGES,VW_LABOR_CODES,MODIFIED,TIMESTAMP_NTZ,YES
S3_STAGES,VW_RENDER_TICKETS,BLUEPRINTED_DATE,DATE,YES
S3_STAGES,VW_RENDER_TICKETS,DATE_APPROVED,DATE,YES
S3_STAGES,VW_RENDER_TICKETS,DATE_COMPLETED,DATE,YES
S3_STAGES,VW_RENDER_TICKETS,DATE_RELEASED,DATE,YES
S3_STAGES,VW_RENDER_TICKETS,TARGET_DATE,DATE,YES
S3_STAGES,VW_RENDER_UNITS,APPROVED_DATE,DATE,YES
S3_STAGES,VW_RENDER_UNITS,COMPLETED_DATE,DATE,YES
S3_STAGES,VW_RENDER_UNITS,ORIGINAL_COMPLETED_DATE,DATE,YES
