TABLE_NAME,TABLE_TYPE,ROW_COUNT,BYTES,CREATED,LAST_ALTERED
DL_REFRESH_AUDIT,BASE TABLE,12,1536,2025-10-31 10:49:11.879 -0700,2025-12-08 00:00:02.797 -0800
DL_RENDER_ASSETS,BASE TABLE,530481,6554112,2025-12-08 03:30:15.786 -0800,2025-12-08 03:30:19.024 -0800
DL_RENDER_TICKETS,BASE TABLE,149709,6820352,2025-12-08 03:30:02.337 -0800,2025-12-08 04:11:25.509 -0800
DL_RENDER_UNITS,BASE TABLE,188418,7091712,2025-12-08 03:30:08.595 -0800,2025-12-08 03:30:15.732 -0800
DL_TASK_LOG,BASE TABLE,11246,91648,2025-10-30 14:57:04.002 -0700,2025-11-07 09:31:01.170 -0800
DL_VETRO_LOCATIONS,BASE TABLE,70565,4805632,2025-12-08 03:30:19.094 -0800,2025-12-08 03:30:22.764 -0800
VW_LABOR_CODES,VIEW,,,2025-11-07 11:54:32.016 -0800,2025-11-07 11:54:32.101 -0800
VW_RENDER_ASSETS,VIEW,,,2025-10-31 10:44:15.946 -0700,2025-10-31 10:44:16.124 -0700
VW_RENDER_TICKETS,VIEW,,,2025-11-24 07:43:24.048 -0800,2025-11-24 07:43:24.206 -0800
VW_RENDER_UNITS,VIEW,,,2025-11-21 11:32:54.605 -0800,2025-11-21 11:32:54.819 -0800
VW_VETRO_LOCATIONS,VIEW,,,2025-10-31 10:44:52.619 -0700,2025-10-31 10:44:52.813 -0700
